# Assume Caliphate
assume_caliphate;Become Pretender-Caliph;;;;;;;x
assume_caliphate_desc;Allah may chose you. The current caliph isn't the right person, you could spread the faith better.;;;;;;;x
give_up_caliphate;End Pretender-Caliphate;;;;;;;x
give_up_caliphate_desc;May you aren't chosen by Allah. The current caliph is the right person, you couldn't do it as good as [rightful_religious_head_scope.GetSheHe].;;;;;;;x
opinion_assumed_caliphate;Assumed the Caliphate;;;;;;;x
CB_NAME_CHOOSE_THE_RIGHT_CALIPH;War of Caliphs;;;;;;;x
WAR_NAME_CHOOSE_THE_RIGHT_CALIPH;War of Caliphs.;;;;;;;x
ended_caliph_conflict;Ended Caliph Conflict;;;;;;;x
caliph_conflict_continue;Caliph Conflict Continue;;;;;;;x
choose_the_right_caliph_desc;The two leader of the war want to settle the question that who is the rightful caliph.;;;;;;;x
sayyid_counted_as_two;Being Sayyid counts as two.;;;;;;;x
anti_caliph;Pretender-Caliph authority lose reduction;;;;;;;x
equal_tier_than_rel_head;Has same or higher rank than the current caliph.;;;;;;;x
CALC_IF_TRUE;At least $AMOUNT$ true;;;;;;;x
three_of_these_must_be_true;Three of these must be true;;;;;;;x
opinion_rival_caliph;Rival Caliph;;;;;;x
opinion_ended_caliphate;Ended Pretender-Caliphate;;;;;;x
PC_family_member;Pretender-Caliph in dynasty;;;;;;x
is_caliph_text;Being Caliph;;;;;;x
is_caliph_from_same_rel_text;Being Caliph from the same religion;;;;;;x
is_the_liege_of_caliph;Being the liege of a Caliph from the same religion;;;;;;x

# Mesopotamian Emulation
JOB_PROSELYTIZE_DIFFERENT_RELIGION;Sabotage Province: §GProvince can only be sabotaged.§!;;;;;;x
JOB_CAN_CAUSE_SAME_CULTURE_CONFUSION_OTHER;Sabotage Province: §GProvince can be converted via Confusion of Babel. Current culture: §!§Y[Root.Culture.GetName]§!;;;;;;x
JOB_CAN_CAUSE_SAME_CULTURE_CONFUSION_REALM;Sabotage Province: §GProvince can be converted via Confusion of Babel. Since it's part of your realm, it won't be sabotaged. Current culture: §!§Y[Root.Culture.GetName]§!;;;;;;x
JOB_TRAIN_TROOPS_CAN_CHAR;Train Troops: §GIn at least one of the holdings in this province where there isn't a master chariot builder therefore one can be searched.§!;;;;;;x
JOB_TRAIN_TROOPS_CAN_NOT_CHAR;Train Troops: §GThere is already a master chariot builder in all the holdings you control, only a younger ones can be found to extend the bonus' duration.§!;;;;;;x
action_proclaim_law;Proclaim Law;;;;;;;;;;;;;x
emul_hammurabi;Follower of Hammurabi;;;;;;;;;;;;;x
emul_hammurabi_desc;This character is following in the steps of Emperor Hammurabi the Lawgiver, ruler of Mesopotamia in times long gone. He is said to be the justice itself. Legends tell that his most eloquent speech convinced the servants of The Queen that there was no Black Gold in his land and they left for 777 years.;;;;;;;;;;;;;x
emul_hammurabi_modifier;Enables the §YProclaim Law§! council action.\nBoosts §YImprove Relations§!, §YProclaim Law§! and §YAssist Arrest§! both as liege and as councillor.\nThis trait will be lost by §YArbitrary§! and §YWroth§! characters.;;;;;;x
emul_ashurbanipal;Follower of Ashurbanipal;;;;;;;;;;;;;x
emul_ashurbanipal_desc;This character is following the steps of Emperor Ashurbanipal the Great, ruler of Assyria in times long gone. When al-Faqih tricked and possessed the Lion of Babylon, he hunted it down. He tried to squeeze out the evil spirit, but he ended up killing the holy animal. Ashurbanipal then spent his entire fortune to gather the world's knowledge to make right his mistake.;;;;;;;;;;;;;x
emul_ashurbanipal_modifier;Enables the §YMaster Chariot Builder Found§! outcome for §YTrain Troops§!.\nBoosts §YTrain Troops§! and §YResearch Cultural Tech§! both as liege and as councillor.\nThis trait will be lost by §YCraven§! and §YCruel§! characters.;;;;;;x
emul_nabuchadnezzar;Follower of Nebuchadnezzar;;;;;;;;;;;;;x
emul_nabuchadnezzar_desc;This character is following the steps of Emperor Nebuchadnezzar the Burner, ruler of Babylonia in times long gone. He was blessed with divine insight by Allah and he was the champion of the Lion to destroy the house of Hashem. He became the greatest Emperor of the east, yet he was not satisfied until he placed every follower of Hashem into chains to discover for Mesopotamia the Black Gold of Asu.;;;;;;;;;;;;;x
emul_nabuchadnezzar_modifier;Enables §YOrganize Raid§! for non-tribal and §YCollect Taxes§! for tribal characters.\nBoosts §YOrganize Raid§!, §YCollect Taxes§! and §YCollect Tribute§! both as liege and as councillor.\nThis trait will be lost by §YCharitable§! and §YPatient§! characters.;;;;;;x
emul_nimrod;Follower of Nimrod;;;;;;;;;;;;;x
emul_nimrod_desc;This character is following the steps of Emperor Nimrod the Builder, ruler of Mesopotamia in times long gone. Because he tried to reach the Seven Heavens, Allah punished him with the shattering of language. But this also lead to the birth of Hashem, Al-Amriki and the Queen. Because he was still weak, he fled from Nimrod's land, so his two sons began to chase the evil creatures.;;;;;;;;;;;;;x
